id,address,city,country,dateAdded,dateUpdated,floorSizeValue,latitude,longitude,lotSizeValue,lotSizeUnit,mlsNumber,neighborhoods,numBathroom,numBedroom,numFloor,parking,postalCode,propertyType,yearBuilt,price,pricePerSquareFoot
aRpE1XgB5p3ULnC0uqjp,611 39th Ave N Unit B,Nashville,US,2021-04-13T13:44:24Z,2022-04-30T15:24:24Z,1544,36.1568,-86.83304,6534,sq ft,2242856,Preston Taylor,2.5,3,2,"Open Parking Parking Spaces: 2,Open Parking Spaces: 2,Garage false,Attached Garage: false,Carport: false,2 spaces,Parking Total: 2",37209,Condo,2021,385000,249.35
AXEFIRb3e6LJWXYXgRXB,360 Brewer Dr,Nashville,US,2020-03-23T02:03:06Z,2022-04-30T15:21:03Z,1399,36.054523,-86.709784,0.43,acs,2354369,Tennessee,2,3,1,,37211,Single Family Dwelling,1959,57900,163
AWtVvgRZcWockGYkZBkQ,212 Belle Chasse Ct,Nashville,US,2019-06-14T11:27:24Z,2022-04-30T15:20:59Z,2178,36.058104,-86.970484,0.46,acs,2029603,Tennessee,1.5,3,1,"Parking Total: 0,Parking Features: Gravel,Garage false,Attached Garage: false,Carport: false",37221,Single Family Dwelling,1978,300900,138.15
DTY9AXYBzUQvJ7ofzcBz,7216 River Jct Dr,Nashville,US,2020-03-22T22:21:46Z,2022-04-30T15:20:22Z,2313,36.057728,-86.975802,0.28,acs,2348062,Tennessee,3,4,2,"Parking Type: Attached Brick Garage,Garage/Parking Sq. Ft: 552",37221,Single Family Dwelling,1986,122500,160
AW4sMyYVhcmU2WcKdexf,323 Greenway Ave,Nashville,US,2019-11-02T12:59:39Z,2022-04-30T15:17:22Z,3016,36.139628,-86.825545,10018,sq ft,2256283,Tennessee,2.5,4,2,"Covered Parking Spaces: 2,Carport: true,Parking Features: Alley Access,Garage false,Attached Garage: false,Alley Access,Carport: false,Parking Total: 2,Carport Parking Spaces: 2",37205,Single Family Dwelling,1930,989900,328.22
AWS1YRSEjCNrmMAsjadf,1400 Linden Ave,Nashville,US,2018-07-20T01:21:39Z,2022-04-30T15:16:20Z,3104,36.128039,-86.790684,8276,sq ft,1503949,"Tennessee,12 South",3,4,2,"Garage false,Attached Garage: false,Carport: false,None",37212,Land,1920,640000,206.19
AiIslnIBzUQvJ7of_qts,115A 46th Ave N,Nashville,US,2020-06-08T23:03:50Z,2022-04-30T15:15:48Z,3081,36.14269,-86.84211,7840,sq ft,2156133,Tennessee,4.5,5,2,"Covered Parking Spaces: 2,Parking Features: Attached - Rear,Garage true,Parking Features: Alley Access,Garage Parking Spaces: 2,Garage Door Opener,Attached Garage: false,Alley Access,Carport: false,Parking Total: 2",37209,Condo,2020,1128201,366.18
DLqPOnMBA7mjcpg9emnc,320 Leafland Ave,Nashville,US,2020-07-10T21:09:08Z,2022-04-30T15:13:57Z,747,36.12743,-86.74602,7405,sq ft,2168337,"Tennessee,Nashville,Woodycrest",1,2,1,"Parking Total: 1,Open Parking Parking Spaces: 1,Open Parking Spaces: 1,Garage false,Attached Garage: false,Carport: false",37210,Single Family Dwelling,1935,200000,267.74
AWUdw0ifjCNrmMAs1WLs,6202 Louisiana Ave,Nashville,US,2018-08-09T07:24:30Z,2022-04-30T15:07:58Z,2132,36.165353,-86.863592,7405,sq ft,1858339,West Nashville,2,2,1,"Concrete Driveway Type,Garage:,None",37209,Multi-Family Dwelling,1935,395000,185.27
AXEEv0k_2qQdVO6NxZsS,6426 Thunderbird Dr,Nashville,US,2020-03-23T00:16:17Z,2022-04-30T15:07:37Z,2287,36.148459,-86.879483,10019,sq ft,2361007,Tennessee,,3,1,"Garage/Parking Sq. Ft: 599,Parking Type: Detached Brick Garage",37209,Single Family Dwelling,1959,66118,157
AXADZ8E4hcmU2WcKCNmy,1108 Hunters Bow Cir,Nashville,US,2020-02-02T00:58:16Z,2022-04-30T15:07:27Z,3214,36.016333,-86.739928,0.28,acs,1531495,Tennessee,3,4,2,"Covered Parking Spaces: 2,Garage true,Garage Parking Spaces: 2,Attached Garage: true,Carport: false,Parking Total: 2",37211,Single Family Dwelling,1997,289000,89.92
dJZLznIBA7mjcpg9XaoU,62 Jay St,Nashville,US,2020-06-19T20:35:45Z,2022-04-30T15:07:04Z,1164,36.118955,-86.735999,0.27,acs,2348800,Tennessee,,3,1,"Garage/Parking Sq. Ft: 384,Parking Type: Carport",37210,Single Family Dwelling,1949,15950,251
AWuEbp1ecWockGYkaPFj,2203 Thistlewood Dr,Nashville,US,2019-01-06T11:02:23Z,2022-04-30T15:06:04Z,1400,36.202636,-86.718118,0.33,acs,2054893,"Tennessee,Nashville",2.5,3,1,"Carport: true,Parking Features: Attached/Detached,Garage Parking Spaces: 1,Parking Features: Concrete,Garage true,Attached Garage: false,Garage,Covered Parking Spaces: 3,Parking Spaces: 3,Detached Garage,Parking Total: 3,Attached Garage,Carport Parking Spaces: 2",37216,Single Family Dwelling,1950,415000,312
AW3ftBRI0x_BgD4eSL_Q,1705 Sharpe Ave,Nashville,US,2019-10-18T16:29:43Z,2022-04-30T15:00:56Z,1014,36.18802,-86.7374,6969,sq ft,2262799,,2,3,1,"Open Parking Parking Spaces: 2,Open Parking Spaces: 2,Garage false,Attached Garage: false,Carport: false,Parking Total: 2",37206,Single Family Dwelling,1994,250000,246.55
AW_xWZc50x_BgD4e13yp,507 Rural Hill Rd,Nashville,US,2020-01-29T12:49:38Z,2022-04-30T15:00:24Z,1750,36.081083,-86.624004,0.32,acs,1745001,"Antioch - Priest Lake,Tennessee",2,3,1,"Carport,Garage false,Attached Garage: false,Carport: false",37217,Single Family Dwelling,1966,154900,131
AXEEUhPt2qQdVO6NxXoI,3947 Keeley Dr,Nashville,US,2020-03-22T22:17:00Z,2022-04-30T14:58:40Z,1300,36.064969,-86.697634,0.45,acs,2361556,Tennessee,,2,1,,37211,Single Family Dwelling,1959,42000,159
AW3foFV_cWockGYkpSmB,5314B Indiana Ave,Nashville,US,2019-10-18T16:08:09Z,2022-04-30T14:57:55Z,1980,36.15669,-86.852846,7405,sq ft,1568139,,3,3,2,"Covered Parking Spaces: 2,Garage false,Attached Garage: false,Parking Spaces: 2,Carport: false,Parking Total: 2",37209,Single Family Dwelling,2014,324900,164.09
AWtU5yxhhcmU2WcKMOUw,515 Bounty Dr,Nashville,US,2019-06-14T07:32:44Z,2022-04-30T14:57:27Z,1340,36.153955,-86.695077,0.35,acs,2256859,Tennessee,1.5,3,1,"Covered Parking Spaces: 2,Carport: true,Garage true,Garage Parking Spaces: 2,Garage false,Attached Garage: false,Carport: false,Parking Total: 2,Parking Features: Detached,Detached,Carport Parking Spaces: 2",37210,Single Family Dwelling,1957,277500,207
AW1vxPEVhcmU2WcKalz2,4500B Illinois Ave,Nashville,US,2019-09-26T22:50:40Z,2022-04-30T14:56:51Z,2479,36.158206,-86.841228,1742,sq ft,1798710,,2.5,3,2,"Covered Parking Spaces: 2,Parking Features: Attached - Rear,Parking Features: Concrete,Garage true,Garage Parking Spaces: 2,Attached Garage: true,Carport: false,Parking Total: 2",37209,Condo,2017,439900,177.45
AW4jnEDOhcmU2WcKdVfA,3415B Benham Ave,Nashville,US,2019-10-31T20:57:53Z,2022-04-30T14:56:31Z,4222,36.116572,-86.807371,3049,sq ft,2217190,"Green Hills - Midtown,Tennessee,Noel Watkins Grove,Green Hills",5,4,2,"Covered Parking Spaces: 2,Garage,Garage Attached,Garage true,Assigned Parking Space,Garage Parking Spaces: 2,Parking Features: Attached - Front,Attached Garage: true,Parking Spaces: 2,2 spaces,Carport: false,Parking Total: 2",37215,Single Family Dwelling,2017,1280000,303.17
__hqKHgByN4LkFz_niCg,97 Elberta St,Nashville,US,2021-03-05T01:44:06Z,2022-04-30T14:54:55Z,884,36.11788,-86.74294,7840,sq ft,2317522,Woodbine,2,2,1,"Open Parking Parking Spaces: 3,Parking Total: 0,Open Parking Spaces: 3,Garage true,Garage Parking Spaces: 3,Parking Features: Alley Access,0 spaces,Garage false,Attached Garage: false,Carport: false,Covered Parking Spaces: 3,Parking Total: 6,Alley Access",37210,Single Family Dwelling,1940,194000,219.46
AXGJv-Bd2qQdVO6N4Uan,2928 Claymille Blvd,Nashville,US,2020-04-17T20:06:25Z,2022-04-30T14:54:07Z,1979,36.230297,-86.802301,10019,sq ft,2348625,Nashville,3,4,2,"Parking Type: Attached Brick Garage,Garage/Parking Sq. Ft: 414",37207,Single Family Dwelling,1987,155000,78
AWTYvZCojCNrmMAsjz0x,3912 Bryce Rd,Nashville,US,2018-07-26T22:35:27Z,2022-04-30T14:54:04Z,2079,36.018233,-86.72704,8276,sq ft,1493803,"Tennessee,Southeast Nashville",2,3,1,"Covered Parking Spaces: 2,Garage true,Garage Parking Spaces: 2,Garage:,Attached Garage: true,Attached Garage Description,Carport: false,Parking Total: 2,Aggregate Driveway Type",37211,Single Family Dwelling,1997,203000,97.64
AXAC8tXFcWockGYkObIj,6621 Christiansted Ln,Nashville,US,2020-02-01T22:50:33Z,2022-04-30T14:52:00Z,2462,36.02416,-86.73716,0.31,acs,2185057,"Tennessee,Nashville",2.5,4,2,"Open Parking Spaces: 6,Garage true,Garage Parking Spaces: 2,Attached Garage: false,Carport: false,Covered Parking Spaces: 2,Parking Features: Attached - Side,Parking Spaces: 8,Garage Attached,Garage,Driveway,Garage Door Opener,Attached - Side,Parking Total: 8,Aggregate,6 Open Parking Space(s),Parking Total: 2,Garage Detached,Attached Garage",37211,Single Family Dwelling,2001,330000,173
EN3Ss3MBA7mjcpg9RqEu,6411 Charlotte Road Cir Apt 102,Nashville,US,2020-04-27T14:53:58Z,2022-04-30T14:50:44Z,675,36.14951,-86.86532,,,2132911,"Tennessee,Nashville",1,1,1,"Parking Features: Asphalt,Parking Total: 0,Parking Lot,Garage false,Attached Garage: false,Carport: false",37209,Condo,2020,176550,262
CWlYZHMBzUQvJ7ofHm6T,520 Deer Ln,Nashville,US,2020-03-16T09:00:00Z,2022-04-30T14:49:22Z,126.912,39.194572,-86.229645,0.41,acs,21830687,Indiana,2,3,1,"Garage,Garage Attached,# of Parking Spaces: 2,Parking Type: Attached Garage,Garage/Parking Sq. Ft: 924,Assigned Parking Space,Attached Garage",47448,Single Family Dwelling,1964,225000,
Hu4UvHMBzBVh0wsv1AX2,1584 Jackson Branch Ridge Rd,Nashville,US,2020-08-05T00:45:48Z,2022-04-30T14:48:33Z,1620,39.223085,-86.266388,29.34,acs,21245837,Indiana,2,3,1,Garage Parking Description: 1 Car Carport,47448,Single Family Dwelling,1979,321000,278
AWlsCVWr8UgePEoQup35,2938 Lakeland Dr,Nashville,US,2019-03-11T09:00:51Z,2022-04-30T14:47:01Z,850,36.153618,-86.653768,0.33,acs,2010660,,1,2,1,"Open Parking Parking Spaces: 4,Open Parking Spaces: 4,Parking Features: Driveway,Garage false,Attached Garage: false,Carport: false,Parking Total: 4",37214,Single Family Dwelling,1955,210000,247.06
omyrmX0B5p3ULnC0gPH4,7457 Charlotte Pike,Nashville,US,2021-12-08T10:51:33Z,2022-04-30T14:44:57Z,,36.113879,-86.926791,1.06,acs,2316374,Bellevue,,,,"0 spaces,Attached Garage: false",37209,Land,,499000,
UqzKLnYBzBVh0wsvz7B3,1514 Spence Ct,Nashville,US,2020-12-04T17:26:52Z,2022-04-30T14:42:30Z,800,36.150707,-86.720358,0.38,acs,2209905,"Spence Lane Homeowners,Nashville",1,2,1,"Garage,3 Open Parking Space(s),Driveway,Open Parking Spaces: 3,Parking Spaces: 4,Assigned Parking Space,Gravel,Parking Features: Detached,Detached,Parking Total: 4,Garage Detached",37210,Single Family Dwelling,1948,165000,
AWs20zNxcWockGYkYbNR,72 Twin St,Nashville,US,2019-06-08T11:22:19Z,2022-04-30T14:42:10Z,217.022,36.1512,-86.86616,6534,sq ft,2048483,"Tennessee,Nashville",3,4,2,"Covered Parking Spaces: 1,Parking Total: 1,Garage Parking Spaces: 1,Parking Features: Attached,Garage true,Attached Garage: true,Carport: false",37209,Single Family Dwelling,2019,499000,213.61
AW6fn2qqY7ir8pkrNkpS,HIGHWAY 100,NASHVILLE,US,2019-11-24T22:54:15Z,2022-04-30T14:41:56Z,,36.021317,-87.028598,8.7,acs,2295520,"South Harpeth Area,Nashville",1,1,,"Parking Type: Detached Concrete Block Garage,Garage/Parking Sq. Ft: 960",37221,Other,,5000,
SWhpYXMBzUQvJ7oflyqq,2229 Green Valley Rd,Nashville,US,2020-02-21T03:59:06Z,2022-04-30T14:41:54Z,1296,39.188211,-86.280468,2,acs,21286149,Indiana,1.5,3,1,"Garage: Yes,Garage Parking Description: 2 Car Detached,Garage/Parking Description: 2 Car (Detached)",47448,Single Family Dwelling,1989,130000,137
AV-S6l3IyCk2Bpf6GGwQ,1907 Electric Ave,Nashville,US,2016-08-23T18:37:51Z,2022-04-30T14:37:51Z,2737,36.167142,-86.737139,6098,sq ft,1754129,"Shelby Hills,Tennessee,East Nashville",3,4,2,"Covered Parking Spaces: 2,Gravel Driveway Type,Garage true,Garage Parking Spaces: 2,Garage:,Attached Garage: false,Detached Garage Description,Carport: false,Parking Total: 2,Parking Features: Detached",37206,Single Family Dwelling,2016,699900,295
w7gU_3IBzBVh0wsvhnhg,11143 Face Hwy,Nashville,US,2020-06-29T07:57:14Z,2022-04-30T14:37:35Z,,42.562606,-85.056334,,,2928714,Michigan,,3,,,49073,Single Family Dwelling,1950,28500,
QTAy83UBzUQvJ7ofZvAx,8387 McCrory Ln,Nashville,US,2019-03-13T19:04:23Z,2022-04-30T14:33:15Z,,36.0658,-86.99872,12.45,acs,1749937,,0,,1,Attached Garage: false,37221,Land,,425000,
AW1wY6Bp0x_BgD4eQPqY,2114A Sharondale Dr,Nashville,US,2019-09-27T01:44:00Z,2022-04-30T14:26:08Z,2710,36.121688,-86.810055,1742,sq ft,1826002,,3.5,4,2,"Covered Parking Spaces: 1,Parking Total: 1,Garage Parking Spaces: 1,Parking Features: Concrete,Garage true,Parking Features: Attached - Front,Attached Garage: true,Carport: false",37215,Single Family Dwelling,2016,645000,238.01
AWTYpsbTjCNrmMAsjzyv,2714 Lakeland Dr,Nashville,US,2018-07-26T22:00:50Z,2022-04-30T14:24:22Z,1441,36.15594,-86.67097,0.39,acs,1707170,Donelson - Hermitage - Old Hickory,2,3,1,"Blacktop Driveway Type,Garage false,Attached Garage: false,Carport: false",37214,Single Family Dwelling,1957,207000,143.65
id3uinkBkcuqw3PhFOnH,1826 Cephas St,Nashville,US,2021-05-20T17:58:49Z,2022-04-30T14:20:13Z,1344,36.182046,-86.806087,5662,sq ft,2255296,,2,3,1,"Parking Total: 0,Parking Features: Concrete,Garage false,Attached Garage: false,Carport: false",37208,Single Family Dwelling,2006,175000,130.21
rjlYP4ABkcuqw3PhfV8H,558 Indian Trl,Nashville,US,2022-04-19T01:03:25Z,2022-04-30T14:15:44Z,,35.978217,-77.94493,0.3,acs,100316834,,,3,1,Parking Features: Paved,27856,Single Family Dwelling,1978,92500,
AW39ZEFQcWockGYkpnPZ,1010 Alice St,Nashville,US,2019-10-24T10:51:08Z,2022-04-30T14:12:25Z,2213,36.20383,-86.80972,9147,sq ft,2093367,Haynes Area,3,3,,"Garage,Attached Garage",37218,Other,2019,515000,232.72
AWl6UTZwAXxH_fqQHTAN,1808 Sweetbriar Ave,Nashville,US,2019-03-14T03:12:46Z,2022-04-30T14:12:08Z,4678,36.1256,-86.79921,0.26,acs,2358674,,5.5,5,2,"Covered Parking Spaces: 2,Garage true,Garage Parking Spaces: 2,Attached Garage: false,Carport: false,Parking Total: 2,Parking Features: Detached,Detached",37212,Single Family Dwelling,2013,2175000,464.94
0f7KDHQBzBVh0wsvSBW_,1502A Kirkwood Ave,Nashville,US,2020-08-20T16:53:37Z,2022-04-30T14:09:25Z,2700,36.121316,-86.792237,,,2209225,"Tennessee,12 South",3.5,3,3,"Parking Total: 0,Driveway,Parking Features: Driveway,Garage false,Attached Garage: false,Carport: false",37212,Condo,2016,5000,1.85
AV-UNgIOjCNrmMAs3PZO,321 Cleveland St,Nashville,US,2017-09-22T18:01:11Z,2022-04-30T14:09:20Z,2018,36.187161,-86.766049,8276,sq ft,2309537,Tennessee,2,4,1,,37207,Single Family Dwelling,1920,260000,128.84
AW4uUfC-0x_BgD4eTKyt,223 Myhr Grn,Nashville,US,2019-11-02T22:52:32Z,2022-04-30T14:09:07Z,1349,36.071969,-86.9317,1742,sq ft,1909246,Newsome Green,2,2,1,"Covered Parking Spaces: 1,Parking Total: 1,Garage,Garage Parking Spaces: 1,Parking Features: Aggregate,Garage true,Parking Features: Attached - Front,Attached Garage: true,Parking Spaces: 1,Carport: false,Attached Garage",37221,Land,1987,235000,174
AXEElfxJ2qQdVO6NxZCo,1608 Jones Ave,Nashville,US,2020-03-22T23:31:10Z,2022-04-30T14:04:49Z,1019,36.202923,-86.758313,7841,sq ft,2314557,Tennessee,,2,1,"Parking Type: Attached Frame Garage,Garage/Parking Sq. Ft: 228",37207,Single Family Dwelling,1940,27000,214
AXEEnMKUe6LJWXYXgOS5,724 N 5th St,Nashville,US,2020-03-22T23:38:34Z,2022-04-30T14:04:28Z,998,36.183246,-86.76385,8276,sq ft,2359202,Tennessee,,2,1,,37207,Single Family Dwelling,1945,30411,255
AW4ugmxqcWockGYkqSKt,1203 Stockell,Nashville,US,2019-03-13T19:15:00Z,2022-04-30T14:03:13Z,2633,36.192456,-86.768386,7840,sq ft,2035621,"Tennessee,Nashville,Cleveland Park",2.5,3,1,"Open Parking Parking Spaces: 2,Parking Features: Driveway,Open Parking Spaces: 2,Garage false,Attached Garage: false,Carport: false,Parking Total: 2",37207,Single Family Dwelling,1930,547500,207.94
AWK8_l6FAXxH_fqQ3Sm7,2212 Summitt Ave,Nashville,US,2018-04-13T02:30:55Z,2022-04-30T14:03:03Z,1344,36.198929,-86.829653,0.29,acs,2310099,,1,2,1,,37218,Single Family Dwelling,1935,125000,93.01
AW4jCZ73Y7ir8pkrJATQ,212 Solness Ave,Nashville,US,2019-10-31T18:17:43Z,2022-04-30T14:02:05Z,1674,36.242277,-86.826917,9147,sq ft,2238241,Bordeaux-Whites Creek,2,3,1,"Covered Parking Spaces: 2,Open Parking Parking Spaces: 3,5 spaces,Open Parking Spaces: 3,Garage true,Garage Parking Spaces: 2,Parking Features: Attached - Front,Attached - Front,Attached Garage: true,Carport: false,Parking Total: 2,Parking Total: 5",37218,Single Family Dwelling,2005,319900,191.1
QcizPnUBzUQvJ7ofPHcN,4137 W Hamilton Ct,Nashville,US,2020-10-19T02:32:15Z,2022-04-30T14:00:44Z,2501,36.211787,-86.852814,0.99,acs,2300679,Nashville,2,3,1,"Parking Type: Attached Frame Garage,Garage/Parking Sq. Ft: 450",37218,Single Family Dwelling,1978,160000,64
AW1vD8AXcWockGYknVIz,2219 Burns,Nashville,US,2019-03-14T03:10:27Z,2022-04-30T13:59:39Z,1680,36.199602,-86.728788,1306,sq ft,1914289,,2.5,3,2,"Parking Features: Concrete,Garage false,Attached Garage: false,Carport: false",37216,Condo,2018,325000,193
AWl6RWsejCNrmMAsr92i,1122 Litton Ave 106,Nashville,US,2019-03-14T03:13:59Z,2022-04-30T13:58:09Z,1107,36.202036,-86.737276,,,1907675,CCSI South Inglewood,2,2,1,"Covered Parking Spaces: 2,Parking Features: Concrete,Garage true,Garage Parking Spaces: 2,Attached Garage: false,Carport: false,Parking Total: 2",37216,Condo,2017,271000,244.81
avqCdHsBkcuqw3PhjuPg,3108 Curtis St Unit B,Nashville,US,2021-08-23T19:35:18Z,2022-04-30T13:58:02Z,,36.199151,-86.828015,0.48,acs,2302283,,3,4,1,"Parking Total: 0,Open Parking Spaces: 2,Parking Features: Attached - Front,Parking Features: Gravel,Parking Total: 4",37218,Single Family Dwelling,2021,355000,
AWTa7XuQ_RWkykBur6_i,3165 Lauren Evelyn Way,Nashville,US,2018-07-27T08:42:52Z,2022-04-30T13:57:13Z,1097,36.244,-86.76829,4791,sq ft,1659973,Parkwood - Union Hill,1.5,3,1,"Parking Total: 0,Concrete Driveway Type,Garage false,Attached Garage: false,Carport: false",37207,Single Family Dwelling,2009,112500,102.55
CLvt-3QBzUQvJ7ofJ2ys,2118 Elliott Ave Apt 2,Nashville,US,2020-03-20T23:23:05Z,2022-04-30T13:56:18Z,2481,36.13036,-86.78038,,,2360678,Nashville,3.5,4,2,"Garage/Parking Sq. Ft: 400,Garage,Parking Type: Attached Frame Garage,Attached Garage",37204,Condo,2017,815000,328
AWpToZrp_K9P-Csy5Qth,543 Elaine Dr,Nashville,US,2019-04-25T08:33:38Z,2022-04-30T13:56:12Z,2580,36.082032,-86.74537,0.41,acs,2276610,"Nashville,Southeast Nashville,Caldwell-Abbay Hall",3.5,6,1,"Open Parking Parking Spaces: 4,4 spaces,Parking Features: Asphalt,Asphalt,Parking Total: 0,Open Parking Spaces: 4,Parking Spaces: 4,Garage false,Attached Garage: false,Carport: false,Parking Total: 4",37211,Single Family Dwelling,1957,449000,170.16
G7bwK3MBA7mjcpg96SzH,616 E Walnut St,Nashville,US,2020-07-08T01:01:15Z,2022-04-30T13:54:07Z,1583,38.34509,-89.37651,0.25,acs,21086895,Illinois,1,4,1,"Mixed,Parking Type: Attached Garage,Parking Spaces: 2,Garage/Parking Sq. Ft: 441",62263,Single Family Dwelling,1958,95000,67
8YJxvHMBzUQvJ7of1BLD,616 E Saint Louis St,Nashville,US,2020-07-30T18:52:09Z,2022-04-30T13:52:47Z,2263,38.34344,-89.37779,0.25,acs,20034617,Illinois,2,3,1,,62263,Other,1900,147500,48.11
szoD-HoBhBhNBLFcGHdy,2935 Winterberry Drive 30,Nashville,US,2021-07-30T15:23:10Z,2022-04-30T13:52:35Z,,36.249827,-86.782361,1045,sq ft,2283441,,2.5,3,2,"Paved,Parking Features: Asphalt,Parking Total: 0,Open Parking Spaces: 2,Parking Features: Paved,Garage false,Attached Garage: false,Carport: false,Parking Total: 2,Parking Features: Detached",37207,Single Family Dwelling,2021,253775,
AXEJSF262qQdVO6Nx4y2,4903 Maywood Dr,Nashville,US,2019-06-14T06:14:10Z,2022-04-30T13:51:28Z,1474,36.072965,-86.757606,0.39,acs,1961036,,1.5,3,1,"Covered Parking Spaces: 2,Open Parking Parking Spaces: 2,Carport: true,Parking Features: Concrete,Parking Features: Attached,Open Parking Spaces: 2,Garage false,Attached Garage: false,Parking Total: 4,Carport Parking Spaces: 2",37211,Single Family Dwelling,1955,355000,240
Loov63MBzUQvJ7oftoWe,1041 E Trinity Ln Apt 204,Nashville,US,2019-10-23T01:05:39Z,2022-04-30T13:51:04Z,481,36.20459,-86.74294,,,2093194,"Tennessee,Iverson",1,1,4,"Parking Features: Asphalt,Asphalt,Parking Total: 0,Garage false,Attached Garage: false,Carport: false",37216,Condo,2019,152277,316.58
AXA29Y26hcmU2WcKIYNJ,160 Westfield Dr,Nashville,US,2020-02-12T01:13:47Z,2022-04-30T13:50:38Z,800,36.08592,-86.94502,746,sq ft,2211225,"Tennessee,Bellevue,Westfield",1,1,1,"Assigned,Parking Total: 1,Parking Spaces: 1,Parking Features: Assigned",37221,Condo,1987,165000,206.25
AWcMKhw4yCk2Bpf6xWX7,2423 Alameda St,Nashville,US,2018-11-13T08:03:12Z,2022-04-30T13:50:11Z,1043,36.166162,-86.814326,6534,sq ft,2051463,"Fisk - Meharry,Heffernan Place,Tennessee,Nashville",1,3,1,"Parking Type: Detached Concrete Block Garage,Parking Features: Gravel,Garage false,Attached Garage: false,Carport: false,Garage/Parking Sq. Ft: 312",37208,Single Family Dwelling,1930,115000,110
AXEFWRfWe6LJWXYXgSkb,4025 Westlawn Dr Unit A,Nashville,US,2020-03-23T03:04:17Z,2022-04-30T13:50:06Z,1850,36.139306,-86.834891,9148,sq ft,,Tennessee,2,4,1,,37209,Multi-Family Dwelling,1973,59250,32
AXEFWShy2qQdVO6Nxde_,4001 Westlawn Dr Unit B,Nashville,US,2020-03-23T03:04:21Z,2022-04-30T13:50:01Z,1288,36.140657,-86.83329,0.29,acs,2270334,Tennessee,2,3,1,"Garage/Parking Sq. Ft: 200,Parking Type: Carport",37209,Single Family Dwelling,1951,20500,328
